Temperature Wrist,Temperature Forehead,Temperature Body
33.52999,36.53,36
33.58999,36.42999,36
33.58999,36.42999,36
33.77001,36.23001,36
33.64999,36.35001,36
33.74999,36.25,36
33.51,36.53,36
33.83001,36.10999,36
33.77001,36.19,36
33.70998,36.31,36
33.58999,36.42999,36
33.77001,36.23001,36
33.63,36.39001,36
33.55001,36.47,36
33.55001,36.47,36
33.63,36.39001,36
33.68999,36.31,36
33.58999,36.42999,36
33.58999,36.42999,36
33.42999,36.60999,36
33.63,36.39001,36
33.46999,36.57001,36
33.42999,36.60999,36
33.51,36.53,36
33.70998,36.29001,36
33.58999,36.42999,36
33.52999,36.53,36
33.64999,36.35001,36
33.13,36.92999,36
33.52999,36.53,36
33.39001,36.64999,36
33.30999,36.73001,36
33.35,36.69,36
33.51,36.53,36
33.52999,36.48999,36
33.51,36.53,36
33.39001,36.64999,36
33.24999,36.82999,36
33.20998,36.82999,36
33.42999,36.63,36
33.33001,36.73001,36
33.42999,36.60999,36
33.52999,36.48999,36
33.45,36.59,35.9
33.45,36.57001,35.9
33.18999,36.85001,35.9
33.13,36.92999,35.9
33.07,36.98999,35.9
32.99001,37.07001,35.9
33.05001,36.98999,35.9
32.39001,37.20999,35.9
33.58999,36.42999,35.9
33.20998,36.82999,35.9
33.24999,36.82999,35.9
33.07,36.95001,35.9
32.99001,37.09,35.8
33.24999,36.82999,35.8
33.30999,36.73001,35.8
32.99001,37.07001,35.8
33.20998,36.82999,35.8
33.79,36.19,35.8
33.85,36.09,36
33.99001,36.20999,36
33.05001,36.98999,36
33.13,36.91,36
33.11001,36.91,36
33.13,36.91,36
33.11001,36.92999,36.1
33.05001,36.98999,36.1
33.07,36.98999,36.1
33.18999,36.87,36.1
33.99001,36.14999,36.1
32.99001,37.07001,36.1
33.91,35.79001,36
33.17001,36.85001,36
33.27001,36.79001,36
33.30999,36.73001,36
33.27001,36.79001,36
33.33001,36.73001,36
33.20998,36.82999,36
33.07,36.97,36
33.24999,36.82999,36
33.30999,36.73001,36
33.95,35.59,36
33.35,36.69,36
33.27001,36.81,35.9
33.24999,36.79001,35.9
33.17001,36.85001,35.9
33.95,35.59,35.9
33.13,36.91,35.9
33.20998,36.82999,35.9
33.95,35.57001,35.9
33.95,35.53,35.9
33.24999,36.79001,35.9
33.86999,36.09,35.9
33.05001,36.98999,35.9
33.05001,36.98999,35.9
33.79,36.19,36
33.13,36.91,36
33.17001,36.87,36
33.79,36.19,36
33.95,35.51001,36
33.05001,36.98999,36
33.95,35.51001,36
33.18999,36.85001,36
33.07,36.95001,36
33.79,36.17001,36
33.74999,36.25,36
33.11001,36.92999,36
33.18999,36.82999,36.1
